"repo","star","watch"
"twentyhq/twenty","ok","ok"
"espocrm/espocrm","ok","ok"
"salesagility/SuiteCRM","ok","ok"
"cortezaproject/corteza","ok","ok"
"frappe/erpnext","ok","ok"
"odoo/odoo","ok","ok"
"Dolibarr/dolibarr","ok","ok"
"krayin/laravel-crm","ok","ok"
"YetiForceCompany/YetiForce","ok","ok"
"monicahq/monica","ok","ok"
"civicrm/civicrm-core","ok","ok"
"nextcloud/server","ok","ok"
"paperless-ngx/paperless-ngx","ok","ok"
"documenso/documenso","ok","ok"
"ONLYOFFICE/CommunityServer","ok","ok"
"openkm/document-management-system","ok","ok"
"chatwoot/chatwoot","ok","ok"
"jitsi/jitsi-meet","ok","ok"
"livekit/livekit","ok","ok"
"bigbluebutton/bigbluebutton","ok","ok"
"asterisk/asterisk","ok","ok"
"signalwire/freeswitch","ok","ok"
"calcom/cal.com","ok","ok"
"n8n-io/n8n","ok","ok"
"nocobase/nocobase","ok","ok"
"appsmithorg/appsmith","ok","ok"
"ToolJet/ToolJet","ok","ok"
"Budibase/budibase","ok","ok"
"nocodb/nocodb","ok","ok"
"bram2w/baserow","ok","ok"
"directus/directus","ok","ok"
"formbricks/formbricks","ok","ok"
"illacloud/illa-builder","ok","ok"
